iter	Passed	Remaining
0	6	1324
1	11	1180
2	20	1346
3	26	1296
4	32	1258
5	36	1187
6	40	1126
7	44	1073
8	49	1049
9	53	1013
10	57	983
11	61	960
12	66	952
13	70	933
14	74	914
15	78	904
16	82	890
17	86	875
18	90	863
19	94	854
20	99	847
21	103	840
22	107	830
23	112	824
24	116	815
25	121	810
26	126	810
27	131	806
28	139	821
29	144	819
30	149	815
31	154	809
32	158	803
33	162	795
34	166	787
35	170	778
36	177	782
37	184	788
38	191	791
39	198	792
40	202	787
41	208	784
42	213	778
43	218	775
44	224	773
45	228	765
46	233	758
47	238	755
48	242	747
49	246	740
50	250	732
51	255	727
52	260	721
53	264	715
54	269	710
55	273	703
56	277	696
57	281	689
58	286	684
59	290	677
60	294	670
61	295	658
62	299	652
63	304	646
64	305	633
65	309	627
66	312	621
67	317	616
68	322	611
69	326	605
70	330	600
71	335	596
72	340	592
73	345	587
74	350	584
75	357	582
76	362	578
77	367	575
78	373	572
79	380	570
80	388	570
81	393	566
82	398	561
83	402	555
84	407	550
85	412	546
86	416	540
87	420	535
88	424	529
89	430	526
90	435	521
91	440	517
92	444	511
93	449	506
94	453	501
95	458	496
96	462	491
97	466	485
98	470	479
99	475	475
100	479	469
101	482	464
102	487	458
103	491	453
104	495	448
105	501	444
106	506	440
107	510	435
108	514	429
109	519	424
110	523	419
111	527	414
112	533	410
113	538	406
114	544	402
115	548	397
116	553	392
117	558	388
118	563	383
119	571	380
120	575	375
121	579	370
122	584	365
123	588	360
124	593	355
125	596	350
126	601	345
127	605	340
128	610	336
129	616	331
130	620	326
131	623	321
132	627	316
133	635	312
134	639	307
135	643	302
136	648	298
137	652	293
138	656	288
139	661	283
140	665	278
141	670	273
142	674	268
143	679	264
144	683	259
145	687	254
146	692	249
147	696	244
148	700	239
149	705	235
150	712	231
151	716	226
152	720	221
153	725	216
154	730	212
155	738	208
156	744	203
157	749	199
158	753	194
159	760	190
160	764	185
161	769	180
162	774	175
163	779	171
164	783	166
165	790	161
166	794	156
167	798	152
168	803	147
169	807	142
170	812	137
171	816	132
172	823	128
173	827	123
174	832	118
175	838	114
176	843	109
177	847	104
178	853	100
179	858	95
180	863	90
181	870	86
182	875	81
183	880	76
184	887	71
185	891	67
186	896	62
187	900	57
188	905	52
189	910	47
190	916	43
191	921	38
192	925	33
193	932	28
194	938	24
195	945	19
196	948	14
197	952	9
198	956	4
199	962	0
