iter	RMSE
0	442.5792318
1	440.6665518
2	438.6627473
3	436.4681218
4	434.1332167
5	431.8037377
6	429.5841255
7	427.4460012
8	425.4173128
9	423.368346
10	421.3877493
11	419.3313943
12	417.2951446
13	415.5565286
14	413.871422
15	412.0658193
16	410.2187306
17	408.1825387
18	406.3219325
19	404.3628933
20	402.4194344
21	400.40961
22	398.5779102
23	396.7738687
24	395.0833332
25	393.2373763
26	391.4192471
27	389.7178333
28	387.9971641
29	386.2937976
30	384.5250595
31	382.9118898
32	381.3917119
33	379.700682
34	377.9988697
35	376.395066
36	374.8064257
37	373.1978535
38	371.624015
39	370.071412
40	368.547477
41	367.0333312
42	365.6232405
43	363.9245836
44	362.4098244
45	360.9868187
46	359.5161032
47	357.9424278
48	356.8064152
49	355.1993067
50	353.9326702
51	352.6096813
52	351.0602517
53	349.7835227
54	348.557343
55	347.1595692
56	345.6440347
57	344.1243039
58	342.9390252
59	341.6688876
60	340.3397318
61	339.035691
62	337.7267753
63	336.5482973
64	335.3109653
65	334.2611653
66	333.0912581
67	331.8030997
68	330.7831502
69	329.4990012
70	328.223662
71	327.0584223
72	325.7789562
73	324.5362081
74	323.3943917
75	322.1647315
76	321.0160494
77	319.9540237
78	318.8277393
79	317.8492936
80	316.7476498
81	315.6905082
82	314.6174415
83	313.527569
84	312.6004862
85	311.4777092
86	310.4601858
87	309.4131268
88	308.5359526
89	307.5997938
90	306.5926386
91	305.5180378
92	304.5491891
93	303.7283981
94	302.8519844
95	301.9790248
96	301.0317889
97	300.2542449
98	299.2959282
99	298.3162288
100	297.3329302
101	296.4685047
102	295.5816694
103	294.7221028
104	293.8639793
105	292.8530764
106	291.9450597
107	291.1516214
108	290.4373466
109	289.399988
110	288.4471732
111	287.6576148
112	286.9229322
113	286.0939783
114	285.2324539
115	284.3702391
116	283.7587927
117	282.993338
118	282.1774665
119	281.4844522
120	280.7256847
121	280.0010692
122	279.2747729
123	278.5247474
124	277.7622632
125	277.1752557
126	276.4287069
127	275.7648045
128	274.8979245
129	273.8820305
130	273.1273726
131	272.3797123
132	271.6706333
133	270.9759921
134	270.2333258
135	269.5857291
136	269.0637394
137	268.3338519
138	267.6379725
139	267.0305617
140	266.2702941
141	265.4626779
142	264.8465649
143	264.1943576
144	263.6034192
145	262.8626416
146	262.2178513
147	261.62347
148	260.9691869
149	260.4271316
150	259.9564246
151	259.4642933
152	258.938237
153	258.4564271
154	257.8564743
155	257.2658061
156	256.6597479
157	256.0239284
158	255.4159991
159	254.8083214
160	254.2480726
161	253.7504773
162	253.0913754
163	252.4048382
164	251.8464146
165	251.3931163
166	250.8289107
167	250.265002
168	249.6028195
169	249.083697
170	248.5223204
171	248.109885
172	247.7021135
173	247.2388452
174	246.5891327
175	246.1837168
176	245.6206696
177	245.1066928
178	244.5367467
179	243.9554758
180	243.4179809
181	242.9284204
182	242.464387
183	242.0389862
184	241.6364598
185	241.1919199
186	240.7723057
187	240.2152232
188	239.6313847
189	239.2068133
190	238.7767513
191	238.212025
192	237.6951236
193	237.1591738
194	236.6931152
195	236.2381444
196	235.770829
197	235.3961712
198	235.0695731
199	234.6209738
200	234.1202031
201	233.676552
202	233.2618653
203	232.9461371
204	232.5311136
205	232.170942
206	231.765
207	231.4039497
208	230.977023
209	230.5426392
210	230.1818761
211	229.7422708
212	229.2657181
213	228.9410921
214	228.4809989
215	227.9740688
216	227.5255247
217	226.9317751
218	226.4924353
219	226.1139567
220	225.6724601
221	225.2331566
222	224.879182
223	224.452078
224	224.2324778
225	223.716171
226	223.2361209
227	222.8260375
228	222.4030215
229	221.9295274
230	221.5587961
231	221.1833221
232	220.8455522
233	220.5450463
234	220.2044294
235	219.8492542
236	219.3749101
237	219.0670258
238	218.6015961
239	218.1064196
240	217.6557174
241	217.2936697
242	216.9411709
243	216.4968968
244	216.0912011
245	215.7664406
246	215.3185481
247	214.9537195
248	214.5207531
249	214.2244093
250	213.7547026
251	213.6454423
252	213.332976
253	213.0375635
254	212.709996
255	212.5054755
256	212.105701
257	211.7093428
258	211.2435207
259	211.0224151
260	210.7126528
261	210.3421322
262	210.1926549
263	209.8117639
264	209.4083662
265	209.030533
266	208.591233
267	208.2903716
268	207.9400224
269	207.5921138
270	207.3126281
271	207.0008178
272	206.7029995
273	206.440019
274	206.1398306
275	205.7724684
276	205.4332765
277	205.1354138
278	204.8060897
279	204.5812399
280	204.2224624
281	204.1512155
282	204.0162017
283	203.7123724
284	203.4364101
285	203.1129959
