iter	Passed	Remaining
0	3	3873
1	5	2720
2	6	2277
3	8	2054
4	9	1974
5	11	1877
6	12	1805
7	14	1747
8	15	1746
9	17	1745
10	19	1725
11	21	1745
12	22	1730
13	24	1739
14	26	1723
15	27	1698
16	28	1673
17	30	1665
18	31	1649
19	33	1636
20	34	1625
21	36	1616
22	38	1622
23	39	1619
24	41	1615
25	43	1611
26	44	1614
27	46	1611
28	48	1608
29	49	1608
30	51	1599
31	52	1591
32	53	1580
33	55	1571
34	56	1561
35	57	1551
36	59	1546
37	60	1535
38	61	1526
39	63	1518
40	64	1511
41	66	1508
42	67	1502
43	68	1495
44	70	1489
45	71	1483
46	72	1477
47	74	1475
48	75	1470
49	77	1463
50	78	1456
51	79	1457
52	81	1453
53	82	1447
54	83	1442
55	85	1437
56	86	1431
57	87	1426
58	89	1421
59	90	1416
60	91	1412
61	93	1408
62	94	1406
63	95	1402
64	97	1398
65	98	1393
66	99	1389
67	101	1385
68	102	1382
69	103	1378
70	105	1374
71	106	1370
72	107	1370
73	109	1367
74	110	1363
75	111	1359
76	113	1355
77	114	1352
78	115	1348
79	116	1344
80	118	1340
81	119	1336
82	120	1332
83	122	1331
84	123	1328
85	124	1324
86	125	1322
87	127	1318
88	128	1316
89	129	1312
90	131	1309
91	132	1308
92	133	1306
93	135	1306
94	137	1306
95	138	1306
96	140	1307
97	142	1311
98	144	1311
99	145	1309
100	146	1307
101	148	1305
102	149	1303
103	150	1300
104	152	1297
105	153	1295
106	154	1292
107	156	1289
108	157	1287
109	158	1285
110	160	1288
111	167	1325
112	170	1334
113	172	1337
114	174	1341
115	178	1359
116	180	1361
117	182	1362
118	184	1364
119	186	1367
120	190	1382
121	192	1385
122	194	1388
123	196	1390
124	199	1393
125	201	1395
126	203	1400
127	205	1402
128	207	1402
129	209	1401
130	211	1400
131	213	1401
132	215	1404
133	216	1401
134	218	1399
135	220	1399
136	222	1403
137	224	1400
138	225	1396
139	226	1393
140	228	1389
141	229	1385
142	230	1383
143	232	1382
144	234	1381
145	235	1378
146	236	1374
147	238	1370
148	239	1367
149	240	1364
150	242	1361
151	243	1357
152	244	1355
153	246	1352
154	247	1349
155	249	1347
156	250	1344
157	251	1341
158	253	1338
159	254	1335
160	255	1332
161	257	1329
162	258	1328
163	259	1325
164	261	1322
165	262	1319
166	264	1317
167	265	1314
168	266	1311
169	268	1308
170	269	1305
171	270	1302
172	272	1301
173	273	1298
174	274	1295
175	276	1293
176	277	1290
177	278	1287
178	280	1284
179	281	1281
180	282	1278
181	283	1275
182	285	1273
183	286	1270
184	287	1268
185	289	1265
186	290	1263
187	291	1260
188	293	1258
189	294	1255
190	295	1252
191	297	1250
192	298	1247
193	299	1246
194	301	1243
195	302	1241
196	303	1238
197	305	1236
198	306	1233
199	307	1230
200	309	1228
201	310	1225
202	311	1223
203	312	1220
204	314	1218
205	315	1216
206	316	1214
207	318	1211
208	319	1209
209	320	1206
210	322	1205
211	323	1202
212	324	1200
213	327	1203
214	329	1204
215	331	1203
216	333	1201
217	334	1200
218	336	1199
219	338	1199
220	340	1200
221	343	1205
222	345	1204
223	347	1205
224	349	1203
225	351	1202
226	352	1201
227	354	1199
228	355	1198
229	357	1197
230	359	1195
231	360	1194
232	362	1192
233	364	1192
234	365	1190
235	369	1197
236	371	1195
237	373	1194
238	374	1192
239	376	1191
240	377	1190
241	380	1192
242	382	1190
243	383	1188
244	384	1185
245	386	1183
246	387	1181
247	388	1178
248	389	1176
249	391	1173
250	392	1172
251	394	1170
252	395	1168
253	396	1165
254	398	1163
255	399	1159
256	400	1157
257	401	1155
258	402	1152
259	404	1150
260	405	1148
261	407	1147
262	408	1144
263	409	1142
264	411	1140
265	412	1138
266	413	1136
267	415	1134
268	416	1132
269	418	1130
270	419	1128
271	420	1126
272	422	1124
273	423	1122
274	424	1120
275	426	1118
